0,1,2
1,1,0.03595438175270108
2,2,0.0639655862344938
1,2,0.03595438175270108
2,3,0.07110844337735094
3,3,0.07110844337735094
1,3,0.03595438175270108
4,4,0.07951180472188876
2,4,0.07110844337735094
3,4,0.07110844337735094
1,4,0.03595438175270108
4,5,0.07951180472188876
2,5,0.07110844337735094
3,5,0.07110844337735094
5,5,0.07110844337735094
1,5,0.03595438175270108
4,6,0.07531012404961986
5,6,0.07110844337735094
2,6,0.06690676270508203
3,6,0.06690676270508203
6,6,0.0639655862344938
1,6,0.04309723889555822
4,7,0.0681672669067627
7,7,0.0681672669067627
2,7,0.0639655862344938
5,7,0.0639655862344938
6,7,0.0639655862344938
3,7,0.05976390556222489
1,7,0.03595438175270108
8,8,0.0723689475790316
7,8,0.0681672669067627
6,8,0.0639655862344938
4,8,0.061024409763905565
5,8,0.061024409763905565
2,8,0.05682272909163666
3,8,0.05262104841936775
1,8,0.028811524609843937
2,9,0.08437374949979992
3,9,0.07302921168467387
8,9,0.0723689475790316
9,9,0.0723689475790316
6,9,0.0681672669067627
7,9,0.0681672669067627
4,9,0.061024409763905565
5,9,0.05682272909163666
1,9,0.028811524609843937
2,10,0.08437374949979992
3,10,0.07723089235694278
7,10,0.0723689475790316
6,10,0.0681672669067627
8,10,0.0681672669067627
9,10,0.0681672669067627
10,10,0.0681672669067627
4,10,0.061024409763905565
5,10,0.05682272909163666
1,10,0.033013205282112844
2,11,0.08857543017206883
3,11,0.08143257302921168
7,11,0.0723689475790316
8,11,0.0723689475790316
10,11,0.0723689475790316
11,11,0.0723689475790316
6,11,0.0681672669067627
9,11,0.0681672669067627
4,11,0.061024409763905565
5,11,0.05682272909163666
1,11,0.033013205282112844
2,12,0.08857543017206883
3,12,0.08143257302921168
7,12,0.0723689475790316
8,12,0.0723689475790316
9,12,0.0723689475790316
10,12,0.0723689475790316
11,12,0.0723689475790316
6,12,0.0681672669067627
12,12,0.06522609043617447
4,12,0.061024409763905565
5,12,0.061024409763905565
1,12,0.033013205282112844
2,13,0.08857543017206883
3,13,0.08143257302921168
7,13,0.0723689475790316
8,13,0.0723689475790316
9,13,0.0723689475790316
13,13,0.0723689475790316
6,13,0.0681672669067627
10,13,0.0681672669067627
5,13,0.06522609043617447
11,13,0.06522609043617447
12,13,0.06522609043617447
4,13,0.061024409763905565
1,13,0.033013205282112844
2,14,0.08857543017206883
3,14,0.08857543017206883
8,14,0.08077230892356943
10,14,0.07951180472188876
7,14,0.07657062825130052
9,14,0.07657062825130052
6,14,0.0723689475790316
