0,1,2,3
0.54,0.78,0.29,0.3029904269400068
0.14,0.66,0.26,0.2996937236433034
0.02,0.45,0.16,0.2996937236433034
0.02,0.66,0.29,0.2996937236433034
0.1,0.93,0.33,0.2996937236433034
0.18,0.82,0.45,0.2996937236433034
0.25,0.78,0.37,0.2996937236433034
0.08,0.92,0.33,0.2996937236433034
0.04,0.37,0.17,0.2996937236433034
0.03,0.69,0.24,0.2996937236433034
0.73,0.72,0.1,0.299589066395789
0.39,0.75,0.03,0.2987887462677379
0.24,0.35,0.01,0.2987887462677379
0.56,0.93,0.01,0.2987887462677379
0.23,0.52,0.38,0.2954920429710346
0.14,0.61,0.52,0.2954920429710346
0.22,0.72,0.66,0.2954920429710345
0.22,0.87,0.52,0.2954920429710345
0.18,0.84,0.87,0.2954920429710345
0.35,0.84,0.63,0.2954920429710345
0.05,0.25,0.23,0.2954920429710345
0.83,0.71,0.03,0.2924462092529319
0.76,0.64,0.01,0.2924462092529319
0.56,0.91,0.71,0.2916458891248807
0.54,0.81,0.61,0.2916458891248807
0.32,0.57,0.34,0.2916458891248807
0.54,0.97,0.97,0.2916458891248807
0.29,0.59,0.44,0.2916458891248807
0.48,0.83,0.72,0.2916458891248807
0.64,0.99,0.81,0.2916458891248807
0.17,0.33,0.28,0.2916458891248807
0.4,0.23,0.06,0.2848431680364453
0.65,0.35,0.07,0.2848431680364453
0.93,0.65,0.12,0.2848431680364453
0.88,0.58,0.03,0.2848431680364453
0.31,0.17,0.02,0.2848431680364453
0.5,0.31,0.06,0.2848431680364453
0.09,0.38,0.48,0.2845030319820236
0.28,0.73,0.87,0.2845030319820236
0.4,0.85,1.0,0.2845030319820236
0.43,0.72,0.83,0.2845030319820236
0.16,0.65,0.72,0.2845030319820236
0.39,0.7,0.82,0.2845030319820236
0.22,0.48,0.44,0.2845030319820236
0.4,0.87,0.93,0.2845030319820236
0.43,0.69,0.77,0.2845030319820236
0.29,0.79,0.99,0.2845030319820236
0.19,0.58,0.67,0.2845030319820236
0.18,0.48,0.55,0.2845030319820236
0.14,0.44,0.53,0.2845030319820236
0.5,0.82,0.86,0.2845030319820236
0.32,0.88,0.33,0.2830270569766367
0.1,0.8,0.21,0.2830270569766367
0.08,0.24,0.03,0.2830270569766367
0.35,0.98,0.28,0.2830270569766367
0.04,0.82,0.4,0.2830270569766367
0.93,0.46,0.07,0.2806414873641764
0.64,0.74,0.09,0.2791809031304829
0.33,0.38,0.06,0.2791809031304829
0.93,0.98,0.21,0.2791809031304829
0.37,0.55,0.08,0.2791809031304829
0.35,0.69,0.09,0.2791809031304829
0.79,0.87,0.24,0.2791809031304829
0.69,0.73,0.14,0.2791809031304829
0.59,0.9,0.15,0.2791809031304829
0.57,0.79,0.14,0.2791809031304829
0.18,0.28,0.07,0.2791809031304829
0.76,0.79,0.11,0.2791809031304829
0.51,0.62,0.18,0.2791809031304829
0.75,0.83,0.1,0.2791809031304829
0.35,0.57,0.07,0.2791809031304829
0.64,0.96,0.19,0.2791809031304829
0.31,0.91,0.42,0.2758841998337796
0.16,0.66,0.02,0.2758841998337796
0.15,0.74,0.03,0.2758841998337796
0.05,0.91,0.04,0.2758841998337796
0.03,0.58,0.05,0.2758841998337796
0.07,0.49,0.23,0.2758841998337796
0.27,0.82,0.26,0.2758841998337796
0.25,0.93,0.35,0.2758841998337796
0.08,0.92,0.46,0.2758841998337796
0.14,0.74,0.01,0.2758841998337796
0.83,0.78,0.12,0.2757795425862652
0.74,0.62,0.13,0.2757795425862652
0.77,0.84,0.33,0.274979222458214
0.5,0.61,0.25,0.274979222458214
0.64,0.69,0.22,0.274979222458214
0.35,0.75,0.19,0.2720380459876258
0.34,0.75,0.26,0.2720380459876258
0.42,0.74,0.32,0.2720380459876258
0.48,0.9,0.31,0.2720380459876258
0.47,0.88,0.21,0.2720380459876258
0.5,0.79,0.32,0.2720380459876258
0.19,0.37,0.06,0.2720380459876258
0.45,0.93,0.31,0.2720380459876258
0.45,0.73,0.31,0.2720380459876258
0.31,0.55,0.18,0.2720380459876258
0.16,0.48,0.04,0.2716825191615107
0.22,0.78,0.67,0.2716825191615107
0.1,0.93,0.14,0.2716825191615107
0.26,0.84,0.07,0.2716825191615107
0.23,0.82,0.07,0.2716825191615107
0.01,0.74,0.2,0.2716825191615107
0.01,0.75,0.17,0.2716825191615107
0.22,0.81,0.58,0.2716825191615107
0.21,0.17,0.05,0.2715778619139963
0.86,0.68,0.01,0.2686366854434081
0.58,0.82,0.62,0.2678363653153569
0.5,0.6,0.47,0.2678363653153569
0.4,0.63,0.35,0.2678363653153569
0.65,0.92,0.78,0.2678363653153569
0.26,0.3,0.17,0.2678363653153569
0.86,0.96,0.68,0.2678363653153569
0.43,0.55,0.47,0.2678363653153569
0.77,0.9,0.55,0.2678363653153569
0.72,0.84,0.52,0.2678363653153569
0.58,0.81,1.0,0.2678363653153569
0.6,0.88,0.97,0.2678363653153569
0.47,0.66,0.82,0.2606935081724997
0.49,0.66,0.11,0.2553713793209591
0.85,0.81,0.22,0.2553713793209591
0.76,0.73,0.2,0.2553713793209591
0.02,0.16,0.01,0.2520746760242559
0.69,0.68,0.21,0.2511696986486902
0.84,0.82,0.31,0.2511696986486902
0.96,0.8,0.27,0.2511696986486902
0.8,0.84,0.38,0.2511696986486902
0.46,0.24,0.06,0.2491288823221596
0.26,0.58,0.82,0.2487887462677378
0.27,0.55,0.73,0.2487887462677378
0.15,0.61,0.95,0.2487887462677378
0.27,0.45,0.65,0.2487887462677378
0.05,0.09,0.14,0.2487887462677378
0.3,0.63,0.97,0.2487887462677378
0.14,0.74,0.11,0.2478729953519869
0.87,0.38,0.08,0.2449272016498907
0.94,0.48,0.11,0.2449272016498907
0.47,0.24,0.06,0.2449272016498907
0.8,0.87,0.46,0.2440268415058331
0.55,0.66,0.64,0.2440268415058331
0.7,0.92,0.93,0.2440268415058331
0.67,0.82,0.8,0.2440268415058331
0.62,0.77,0.81,0.2440268415058331
0.2,0.39,0.87,0.2403853849232
0.61,0.61,0.88,0.2321220796010712
0.83,0.79,0.75,0.2321220796010712
0.61,0.64,0.9,0.2321220796010712
0.6,0.57,0.87,0.2321220796010712
0.46,0.49,0.74,0.2321220796010712
0.48,0.6,0.9,0.2321220796010712
0.47,0.39,0.65,0.2321220796010712
0.79,0.86,0.81,0.2321220796010712
0.21,0.23,0.37,0.2321220796010712
0.4,0.36,0.67,0.2279203989288022
0.13,0.49,0.9,0.224979222458214
0.18,0.65,0.98,0.224979222458214
0.15,0.41,0.77,0.224979222458214
0.15,0.44,0.78,0.224979222458214
0.33,0.15,0.08,0.2245190383845846
0.4,0.3,0.56,0.2237187182565334
0.13,0.49,0.98,0.2207775417859451
1.0,0.45,0.27,0.2203173577123157
0.23,0.37,0.93,0.2199772216578939
0.22,0.37,0.97,0.2199772216578939
0.43,0.47,0.99,0.2165758611136762
0.35,0.46,0.97,0.2165758611136762
0.18,0.26,0.62,0.2165758611136762
0.74,0.62,0.42,0.2154554129344045
0.73,0.66,0.39,0.2154554129344045
0.88,0.57,0.41,0.2154554129344045
0.37,0.37,0.23,0.2154554129344045
0.78,0.66,0.36,0.2154554129344045
0.72,0.66,0.31,0.2154554129344045
0.94,0.95,0.51,0.2154554129344045
0.85,0.83,0.53,0.2154554129344045
0.78,0.57,0.22,0.2154554129344045
0.78,0.49,0.32,0.2154554129344045
0.67,0.57,0.3,0.2154554129344045
0.38,0.32,0.3,0.2083125557915473
0.98,0.74,0.7,0.2083125557915473
0.4,0.47,0.51,0.2083125557915473
0.87,0.76,0.77,0.2083125557915473
0.64,0.52,0.7,0.2083125557915473
0.89,0.5,0.4,0.2083125557915473
0.5,0.51,0.62,0.2083125557915473
0.59,0.71,0.8,0.2083125557915473
0.7,0.5,0.38,0.2083125557915473
0.77,0.85,0.83,0.2083125557915473
0.94,0.69,0.65,0.2083125557915473
0.82,0.6,0.65,0.2083125557915473
0.76,0.55,0.49,0.2083125557915473
0.93,0.88,0.91,0.2083125557915473
0.7,0.63,0.68,0.2083125557915473
0.7,0.56,0.39,0.2083125557915473
0.34,0.33,0.35,0.2083125557915473
0.84,0.56,0.46,0.2083125557915473
0.92,0.71,0.98,0.2083125557915473
0.92,0.93,0.73,0.2083125557915473
0.83,0.56,0.64,0.2083125557915473
0.67,0.4,0.36,0.2083125557915473
0.69,0.6,0.87,0.2083125557915473
0.94,0.74,0.76,0.2083125557915473
0.58,0.48,0.43,0.2083125557915473
0.54,0.34,0.39,0.2083125557915473
0.9,0.7,0.71,0.2083125557915473
0.5,0.31,0.15,0.2083125557915473
0.89,0.8,0.64,0.2083125557915473
0.77,0.71,0.91,0.2083125557915473
0.97,0.87,0.87,0.2083125557915473
0.93,0.5,0.5,0.2041108751192784
0.04,0.43,0.95,0.200369378520639
0.42,0.29,0.57,0.1999091944470095
0.78,0.35,0.25,0.1999091944470095
0.78,0.42,0.62,0.1999091944470095
0.02,0.34,0.82,0.1961676978483701
0.82,0.39,0.37,0.1927663373041524
0.85,0.41,0.43,0.1927663373041524
0.41,0.22,0.76,0.1880044325422476
0.5,0.28,0.84,0.1880044325422476
0.46,0.31,0.7,0.1880044325422476
0.7,0.3,0.98,0.1880044325422476
0.29,0.12,0.4,0.1838027518699787
0.47,0.35,0.98,0.1808615753993905
0.38,0.25,0.78,0.1808615753993905
0.97,0.3,0.18,0.1761997106534922
0.95,0.2,0.2,0.1761997106534922
0.74,0.23,0.12,0.1761997106534922
0.45,0.08,0.11,0.169056853510635
0.59,0.34,0.73,0.1641949087327238
0.9,0.35,0.67,0.1641949087327238
0.78,0.39,0.69,0.1641949087327238
0.73,0.32,0.98,0.1641949087327238
0.89,0.38,0.53,0.1641949087327238
0.81,0.36,0.62,0.1641949087327238
0.98,0.35,0.94,0.1641949087327238
0.55,0.27,0.74,0.1641949087327238
0.33,0.13,0.59,0.1633945886046726
0.41,0.3,0.99,0.1604534121340844
0.36,0.22,0.75,0.1604534121340844
0.33,0.21,0.79,0.1604534121340844
0.12,0.08,0.31,0.1604534121340844
0.22,0.14,0.48,0.1604534121340844
1.0,0.33,0.98,0.1599932280604549
0.9,0.31,0.74,0.1599932280604549
0.7,0.23,0.82,0.1599932280604549
0.86,0.26,0.97,0.1599932280604549
0.71,0.26,0.93,0.1599932280604549
0.86,0.21,0.87,0.1599932280604549
0.7,0.23,0.91,0.1599932280604549
0.95,0.33,0.86,0.1599932280604549
0.67,0.21,0.62,0.1599932280604549
0.79,0.24,0.87,0.1599932280604549
0.65,0.19,0.65,0.1599932280604549
0.96,0.34,0.45,0.1570520515898667
0.89,0.38,0.46,0.1570520515898667
1.0,0.4,0.56,0.1570520515898667
0.97,0.34,0.49,0.1570520515898667
0.33,0.12,0.6,0.1562517314618154
0.24,0.15,0.81,0.1562517314618154
0.25,0.08,0.57,0.1562517314618154
0.86,0.2,0.83,0.155791547388186
0.28,0.09,0.17,0.1528503709175978
0.29,0.14,0.91,0.1491088743189583
0.89,0.17,0.3,0.1486486902453288
0.3,0.06,0.21,0.1486486902453288
0.87,0.21,0.36,0.1486486902453288
0.71,0.21,0.27,0.1486486902453288
0.84,0.13,0.21,0.1486486902453288
0.98,0.17,0.34,0.1486486902453288
0.34,0.08,0.15,0.1486486902453288
0.89,0.21,0.76,0.1486486902453288
1.0,0.03,0.05,0.147078831532613
0.9,0.01,0.1,0.147078831532613
0.18,0.15,0.8,0.1449071936466894
0.24,0.15,0.95,0.1449071936466894
0.28,0.08,0.73,0.1381198633299473
0.9,0.04,0.21,0.1376596792563179
0.81,0.1,0.22,0.1376596792563179
0.65,0.03,0.19,0.1376596792563179
0.37,0.06,0.38,0.1353833841228799
0.72,0.14,0.74,0.1353833841228799
0.87,0.14,0.77,0.1353833841228799
0.22,0.04,0.33,0.1353833841228799
0.26,0.09,0.84,0.1339181826576784
0.07,0.22,0.99,0.1324422076522917
0.08,0.19,0.97,0.1282405269800227
0.71,0.01,0.91,0.1243943731338689
0.57,0.07,0.86,0.1243943731338689
0.5,0.05,0.69,0.1243943731338689
0.96,0.09,0.97,0.1243943731338689
0.55,0.04,0.59,0.1243943731338689
0.6,0.03,0.83,0.1243943731338689
0.64,0.02,0.92,0.1243943731338689
0.5,0.05,0.74,0.1243943731338689
0.16,0.01,0.18,0.1243943731338689
0.72,0.01,0.17,0.1195278111244497
0.65,0.01,0.13,0.1195278111244497
0.83,0.07,0.48,0.1172515159910118
0.54,0.01,0.44,0.1172515159910118
0.29,0.03,0.22,0.1172515159910118
0.63,0.03,0.49,0.1172515159910118
0.83,0.09,0.63,0.1172515159910118
0.99,0.1,0.62,0.1172515159910118
0.89,0.05,0.66,0.1172515159910118
0.04,0.05,0.3,0.1101086588481546
0.37,0.07,0.96,0.1059069781758857
0.12,0.01,0.96,0.0812971342383107
0.12,0.05,0.96,0.0812971342383107
0.88,0.73,0.03,0.312854372518238
0.77,0.81,0.63,0.20831255579154737
0.21,0.56,0.08,0.28302705697663677
0.88,0.87,0.43,0.21545541293440454
0.46,1.0,0.66,0.28450303198202354
0.69,0.4,0.12,0.2287207190568535
0.51,0.56,0.88,0.2321220796010712
0.03,0.71,0.43,0.3068365807861606
0.29,0.48,0.52,0.28450303198202354
0.99,0.07,0.34,0.1376596792563179
0.9,0.11,0.97,0.12439437313386893
0.66,0.47,0.43,0.21545541293440454
0.61,0.97,0.1,0.27918090313048294
0.03,0.27,0.3,0.2845030319820236
0.23,0.21,0.77,0.1604534121340844
0.19,0.96,0.98,0.2845030319820236
0.03,0.63,0.91,0.24878874626773786
0.56,0.89,0.74,0.2916458891248807
0.12,0.69,0.32,0.2996937236433035
0.77,0.77,0.62,0.20831255579154737
0.1,0.9,0.27,0.27588419983377965
0.41,0.28,0.6,0.2237187182565334
0.51,0.09,0.23,0.14864869024532887
0.84,0.9,0.11,0.27918090313048294
0.28,0.57,0.98,0.24878874626773784
0.1,0.39,0.29,0.29549204297103454
0.78,0.39,0.28,0.20411087511927845
0.99,0.11,0.37,0.1172515159910118
0.74,0.92,0.68,0.26783636531535693
0.81,0.39,0.76,0.16419490873272385
0.85,0.72,0.62,0.20831255579154737
0.41,0.63,0.21,0.27918090313048294
0.63,0.31,0.78,0.16419490873272385
0.58,0.93,0.21,0.27918090313048294
0.81,0.05,0.06,0.14707883153261303
0.2,0.12,0.64,0.15625173146181548
0.19,0.6,0.66,0.30831255579154737
0.57,0.49,0.23,0.21545541293440454
0.54,0.49,0.86,0.22497922245821406
0.96,0.3,0.59,0.15285037091759782
0.57,0.29,0.59,0.16419490873272385
0.66,0.78,0.57,0.26783636531535693
0.21,0.82,0.43,0.2996937236433035
0.06,0.75,0.04,0.27588419983377965
0.94,0.24,0.93,0.15579154738818604
0.78,0.17,0.74,0.13538338412287992
0.57,0.77,0.09,0.27918090313048294
0.92,0.62,0.97,0.20411087511927845
0.25,0.69,0.28,0.2996937236433035
1.0,0.17,0.46,0.14864869024532887
0.16,0.9,0.41,0.2996937236433035
0.35,0.14,0.4,0.16419490873272385
0.01,0.44,0.61,0.24878874626773786
0.08,0.04,0.37,0.12971650198540954
0.93,0.68,1.0,0.20831255579154737
0.55,0.51,0.7,0.20831255579154737
0.46,0.34,0.74,0.2237187182565334
0.71,0.28,0.27,0.16419490873272385
0.03,0.53,0.01,0.27588419983377965
0.28,0.35,0.49,0.22497922245821406
0.99,0.82,0.92,0.20831255579154737
0.83,0.07,0.49,0.1172515159910118
0.3,0.76,0.18,0.2720380459876258
0.84,0.44,0.53,0.19990919444700955
0.42,0.29,0.05,0.26443500477113924
0.93,0.17,0.87,0.13538338412287992
0.16,0.02,0.13,0.1172515159910118
0.48,0.93,0.87,0.28450303198202354
0.91,0.41,0.71,0.16419490873272385
0.37,0.04,0.87,0.10590697817588575
0.74,0.12,0.47,0.14864869024532887
0.24,0.25,0.58,0.21657586111367624
0.68,0.87,0.47,0.24402684150583312
0.91,0.48,0.7,0.19990919444700955
0.18,0.43,0.7,0.24878874626773784
0.51,0.35,0.97,0.18086157539939052
0.27,0.54,0.28,0.2958475697971496
0.46,0.8,0.65,0.2916458891248807
0.59,0.04,0.82,0.12439437313386893
0.97,0.92,0.81,0.20831255579154737
0.36,0.2,0.85,0.15625173146181548
0.56,0.4,0.09,0.26443500477113924
1.0,0.68,0.65,0.21545541293440454
0.4,0.91,0.53,0.28450303198202354
0.05,0.72,0.93,0.2845030319820236
0.08,0.43,0.84,0.24878874626773786
0.21,0.25,0.03,0.27918090313048294
0.39,0.44,0.89,0.22077754178594514
0.45,0.31,0.01,0.2848431680364453
0.29,0.06,0.6,0.1172515159910118
0.53,0.19,0.59,0.15999322806045493
0.84,0.93,0.31,0.27918090313048294
0.53,0.07,0.14,0.1376596792563179
0.56,0.95,0.41,0.2720380459876258
0.84,0.26,0.81,0.15999322806045493
0.39,0.87,0.21,0.2720380459876258
0.54,0.02,0.8,0.1172515159910118
0.81,0.3,0.07,0.21611567704004678
0.84,0.06,0.73,0.1172515159910118
0.31,0.71,0.59,0.29549204297103454
0.62,0.48,0.25,0.21545541293440454
0.19,0.08,0.41,0.15625173146181548
0.57,0.75,0.13,0.25537137932095916
0.42,0.91,0.41,0.2720380459876258
0.77,0.39,0.46,0.19990919444700955
0.02,0.21,0.17,0.29549204297103454
0.31,0.6,0.94,0.24878874626773784
0.49,0.58,0.69,0.20831255579154737
0.61,0.76,0.01,0.27497922245821405
0.31,0.3,0.55,0.22497922245821406
0.31,0.94,0.9,0.28450303198202354
0.74,0.29,0.56,0.16419490873272385
0.22,0.29,0.69,0.21657586111367624
0.09,0.11,0.77,0.11010865884815466
0.69,0.59,0.94,0.20831255579154737
0.64,0.1,0.42,0.12824052698002278
0.65,0.55,0.49,0.20831255579154737
0.09,0.53,0.49,0.29549204297103454
0.37,0.16,0.88,0.15625173146181548
0.33,0.38,0.18,0.27497922245821405
0.25,0.59,0.78,0.28450303198202354
0.76,0.6,0.48,0.20831255579154737
0.9,0.2,0.09,0.1761997106534922
0.68,0.24,0.26,0.16419490873272385
0.56,0.56,0.74,0.20831255579154737
0.53,0.01,0.15,0.1266706682673069
0.27,0.95,0.62,0.3193015667805584
0.63,0.05,0.6,0.1172515159910118
0.04,0.07,0.86,0.10170529750361683
0.34,0.02,0.08,0.1376596792563179
1.0,0.31,0.04,0.18946501677594113
0.02,0.32,0.7,0.20036937852063902
0.46,0.28,0.63,0.16419490873272385
0.14,0.29,0.31,0.28450303198202354
0.46,0.42,0.88,0.22077754178594514
0.16,0.24,0.43,0.24878874626773784
0.25,0.7,0.83,0.28450303198202354
0.08,0.68,0.32,0.2996937236433035
0.87,0.54,0.48,0.21545541293440454
0.67,0.3,0.45,0.16419490873272385
0.52,0.99,0.47,0.2720380459876258
0.62,0.13,0.96,0.12824052698002278
0.85,0.72,0.19,0.2715778619139964
0.64,0.27,0.81,0.16419490873272385
0.79,0.92,0.58,0.24402684150583312
0.91,0.53,0.56,0.20831255579154737
0.77,0.29,0.04,0.2365238403053529
0.94,0.97,0.19,0.27918090313048294
0.65,0.08,0.54,0.1172515159910118
0.25,0.57,0.24,0.2720380459876258
0.82,0.19,0.78,0.15579154738818604
0.61,0.35,0.44,0.19990919444700955
0.89,0.52,0.82,0.19990919444700955
0.92,0.39,0.8,0.16419490873272385
0.22,0.23,0.55,0.21657586111367624
0.45,0.54,0.73,0.2321220796010712
0.47,0.69,0.38,0.26783636531535693
0.28,0.14,0.62,0.15625173146181548
0.79,0.58,0.87,0.20831255579154737
0.97,0.37,0.79,0.16419490873272385
0.97,0.22,0.13,0.1761997106534922
0.94,0.01,0.9,0.1172515159910118
0.32,0.52,0.09,0.27918090313048294
0.92,0.81,0.37,0.21545541293440454
0.76,0.53,0.51,0.21545541293440454
0.79,0.67,0.81,0.20831255579154737
0.08,0.54,0.88,0.24878874626773786
0.3,0.48,0.47,0.2916458891248807
0.07,0.7,0.32,0.2996937236433035
0.9,0.91,0.89,0.20831255579154737
0.14,0.18,0.03,0.25537137932095916
0.63,0.34,0.23,0.20831255579154737
0.72,0.35,0.18,0.2245190383845846
0.67,0.97,0.04,0.2987887462677378
0.17,0.01,0.91,0.12551482131314065
0.73,0.28,0.77,0.16419490873272385
0.48,0.01,0.34,0.1172515159910118
0.43,0.96,0.55,0.28450303198202354
0.6,0.44,0.17,0.21545541293440454
0.33,0.44,0.85,0.22077754178594514
0.8,0.72,0.21,0.25116969864869026
0.18,0.73,0.85,0.2845030319820236
0.23,0.08,0.1,0.1570520515898667
0.6,0.16,0.89,0.13538338412287992
0.22,0.09,0.97,0.12971650198540954
0.6,0.88,0.2,0.27918090313048294
0.7,0.1,0.41,0.12824052698002278
0.22,0.38,0.63,0.24878874626773784
0.06,0.39,0.14,0.2996937236433035
0.68,0.8,0.58,0.26783636531535693
1.0,0.69,0.59,0.21545541293440454
0.46,0.38,0.46,0.20831255579154737
0.23,0.12,0.06,0.2287207190568535
0.22,0.56,0.94,0.24878874626773784
0.02,0.09,0.41,0.12109766983716563
0.01,0.15,0.38,0.19616769784837013
0.44,0.13,0.38,0.15999322806045493
0.77,0.87,0.52,0.24402684150583312
0.51,0.06,0.34,0.1172515159910118
0.32,0.89,0.95,0.28450303198202354
0.57,0.44,0.05,0.26863668544340813
0.76,0.83,0.87,0.20831255579154737
1.0,0.58,0.6,0.20831255579154737
0.49,0.45,0.05,0.26863668544340813
0.04,0.33,0.52,0.24878874626773786
0.64,0.42,0.64,0.20411087511927845
0.15,0.91,0.54,0.2996937236433035
0.04,0.66,0.87,0.24878874626773786
0.75,0.03,0.6,0.1172515159910118
0.11,0.19,0.29,0.24878874626773784
0.09,0.87,0.17,0.27168251916151076
0.31,0.69,0.89,0.28450303198202354
0.63,0.78,0.5,0.26783636531535693
0.37,0.12,0.18,0.14864869024532887
0.67,0.95,0.71,0.2916458891248807
0.2,0.85,0.99,0.2845030319820236
0.52,0.14,0.27,0.14864869024532887
0.17,0.83,0.93,0.2845030319820236
0.46,0.35,0.51,0.20831255579154737
0.99,0.31,0.37,0.15579154738818604
0.17,0.65,0.32,0.2996937236433035
0.13,0.39,0.47,0.30831255579154737
0.58,0.54,0.99,0.22497922245821406
0.37,0.17,0.85,0.15625173146181548
0.56,0.89,0.69,0.2916458891248807
