0,1,2,3,4,5,6
21,9,True,True,False,15,0.19037922861452272
21,35,True,True,False,3,0.2321266968325792
21,48,True,False,True,15,0.22917012959029767
21,32,True,True,True,39,0.15299504417151474
21,42,True,True,False,29,0.20061409179056236
21,17,True,False,False,10,0.28301628343645147
21,11,True,True,False,9,0.2383538030596854
21,22,True,False,True,29,0.2106827346323145
21,33,True,True,False,17,0.16840120663650077
21,31,True,True,True,23,0.15137901314371902
21,39,True,True,False,24,0.19641241111829347
21,16,True,False,True,25,0.2540000615630868
21,5,True,False,True,40,0.270206544156124
21,12,True,False,True,23,0.26762089451165083
21,34,True,True,False,35,0.22533936651583705
21,6,True,False,True,12,0.23748422445901438
21,16,True,False,True,15,0.2540000615630868
21,35,True,True,False,38,0.22113768584356816
21,36,True,True,True,46,0.24899806076276665
21,41,True,True,True,23,0.16091359620771387
21,37,True,True,True,45,0.2584172130390618
21,16,True,True,False,42,0.19641241111829347
21,46,True,False,True,27,0.2058207898544033
